name,country_of_birth,age,position,current_club_domestic_competition_id,market_value_in_eur
Roman Weidenfeller,Germany,44.0,Goalkeeper,L1,750000.0
Lúcio,Brazil,46.0,Defender,IT1,200000.0
Dedê,Brazil,46.0,Defender,TR1,400000.0
Christoph Metzelder,Germany,43.0,Defender,L1,1500000.0
Marc Ziegler,Germany,48.0,Goalkeeper,L1,200000.0
Sérgio da Silva Pinto,Portugal,43.0,Midfield,ES1,150000.0
Benjamin Köhler,Germany,44.0,Midfield,L1,150000.0
Sebastian Kehl,Germany,44.0,Midfield,L1,1000000.0
Oka Nikolov,Germany,50.0,Goalkeeper,L1,350000.0
Gerhard Tremmel,Germany,45.0,Goalkeeper,GB1,250000.0
Simon Jentzsch,Germany,48.0,Goalkeeper,L1,300000.0
Timo Hildebrand,Germany,45.0,Goalkeeper,L1,750000.0
Christian Vander,Germany,43.0,Goalkeeper,L1,100000.0
Ivan Klasnic,Germany,44.0,Attack,L1,500000.0
Simon Rolfes,Germany,42.0,Midfield,L1,2000000.0
Giuseppe Gemiti,Germany,43.0,Defender,IT1,75000.0
Hanno Balitsch,Germany,43.0,Midfield,L1,200000.0
Selim Teber,Germany,43.0,Midfield,TR1,175000.0
Jens Langeneke,Germany,47.0,Defender,L1,100000.0
Heinz Müller,Germany,46.0,Goalkeeper,L1,200000.0
Ugur Inceman,Germany,43.0,Midfield,TR1,50000.0
Christian Weber,Germany,41.0,Defender,L1,50000.0
Manuel Friedrich,Germany,45.0,Defender,L1,500000.0
Thomas Kleine,Germany,46.0,Defender,L1,250000.0
Sven Neuhaus,Germany,46.0,Goalkeeper,L1,200000.0
Matthias Lehmann,Germany,41.0,Midfield,L1,250000.0
Christofer Heimeroth,Germany,43.0,Goalkeeper,L1,100000.0
Javier Zanetti,Argentina,51.0,Defender,IT1,1000000.0
Michael Ratajczak,Germany,42.0,Goalkeeper,L1,50000.0
Jermaine Jones,Germany,42.0,Midfield,TR1,600000.0
Martin Amedick,Germany,42.0,Defender,L1,300000.0
Alou Diarra,France,43.0,Midfield,FR1,250000.0
Kevin Kuranyi,Brazil,42.0,Attack,L1,1250000.0
Christian Wetklo,Germany,44.0,Goalkeeper,L1,50000.0
Guy Demel,France,43.0,Defender,SC1,150000.0
Michael Owen,England,44.0,Attack,GB1,1000000.0
Cacau,Brazil,43.0,Attack,L1,350000.0
Mike Hanke,Germany,40.0,Attack,L1,1000000.0
Tim Wiese,Germany,42.0,Goalkeeper,L1,500000.0
Heiko Butscher,Germany,44.0,Defender,L1,200000.0
Wesley Sonck,Belgium,46.0,Missing,BE1,200000.0
Youssef El Akchaoui,Netherlands,43.0,Defender,NL1,350000.0
Alexander Meier,Germany,41.0,Attack,L1,300000.0
Stefan Reisinger,Germany,43.0,Attack,L1,500000.0
Thomas Hitzlsperger,Germany,42.0,Midfield,GB1,1000000.0
Christian Schulz,Germany,41.0,Defender,L1,100000.0
Vivian,Brazil,42.0,Defender,FR1,100000.0
Dennis Kruppke,Germany,44.0,Attack,L1,400000.0
Sascha Riether,Germany,41.0,Defender,L1,300000.0
David Odonkor,Germany,40.0,Attack,UKR1,500000.0
Heiko Westermann,Germany,41.0,Defender,NL1,400000.0
Patrick Platins,Germany,41.0,Goalkeeper,L1,250000.0
Du-ri Cha,Germany,44.0,Defender,L1,825000.0
Halil Altintop,Germany,41.0,Midfield,L1,200000.0
Hamit Altintop,Germany,41.0,Midfield,L1,300000.0
Ali Bilgin,Germany,42.0,Midfield,TR1,175000.0
Ahmet Cebe,Germany,41.0,Defender,TR1,50000.0
Markus Feulner,Germany,42.0,Midfield,L1,100000.0
Philipp Haastrup,Germany,42.0,Defender,NL1,100000.0
Erdal Kilicaslan,Germany,40.0,Attack,TR1,400000.0
Oliver Kirch,Germany,42.0,Midfield,L1,500000.0
Patric Klandt,Germany,40.0,Goalkeeper,L1,50000.0
Lukas Kruse,Germany,41.0,Goalkeeper,L1,100000.0
Philipp Lahm,Germany,40.0,Defender,L1,11000000.0
Christian Lell,Germany,40.0,Defender,ES1,800000.0
Markus Miller,Germany,42.0,Goalkeeper,L1,300000.0
Zvjezdan Misimovic,Germany,42.0,Midfield,RU1,700000.0
Marcel Ndjeng,Germany,42.0,Midfield,L1,50000.0
Patrick Ochs,Germany,40.0,Defender,L1,200000.0
Patrick Owomoyela,Germany,44.0,Defender,L1,200000.0
Marjan Petkovic,Germany,45.0,Goalkeeper,L1,200000.0
Michael Rensing,Germany,40.0,Goalkeeper,L1,300000.0
Mahir Saglik,Germany,41.0,Attack,L1,50000.0
Bastian Schweinsteiger,Germany,40.0,Midfield,GB1,1000000.0
Thorsten Stuckmann,Germany,43.0,Goalkeeper,SC1,100000.0
Elyasa Süme,Germany,41.0,Defender,TR1,25000.0
Romuald Peiser,France,45.0,Goalkeeper,PO1,75000.0
Alexander Madlung,Germany,42.0,Defender,L1,250000.0
Christian Pander,Germany,41.0,Defender,L1,250000.0
Martín Demichelis,Argentina,43.0,Defender,ES1,200000.0
Steven Gerrard,England,44.0,Midfield,GB1,1750000.0
Jan Schlaudraff,Germany,41.0,Attack,L1,750000.0
David Bellion,France,41.0,Attack,FR1,250000.0
Kieron Dyer,England,45.0,Midfield,GB1,500000.0
Richard Wright,England,46.0,Goalkeeper,GB1,250000.0
Titus Bramble,England,43.0,Defender,GB1,2000000.0
Kevin Phillips,England,51.0,Attack,GB1,250000.0
David Beckham,England,49.0,Midfield,FR1,1000000.0
Carlo Cudicini,Italy,51.0,Goalkeeper,GB1,500000.0
William Gallas,France,47.0,Defender,GB1,500000.0
Valerio Di Cesare,Italy,41.0,Defender,IT1,200000.0
John Terry,England,43.0,Defender,GB1,1000000.0
Frank Lampard,England,46.0,Midfield,GB1,1000000.0
Cris,Brazil,47.0,Defender,TR1,250000.0
Simon Cziommer,Germany,43.0,Midfield,NL1,400000.0
Quique de Lucas,Spain,46.0,Midfield,ES1,100000.0
Carlton Cole,England,40.0,Attack,SC1,500000.0
Ashley Cole,England,43.0,Defender,IT1,500000.0
Stuart Taylor,England,43.0,Goalkeeper,GB1,250000.0
Jermaine Pennant,England,41.0,Attack,GB1,500000.0
David Bentley,England,40.0,Midfield,RU1,3000000.0
