name,last_season,country_of_birth,date_of_birth,position,foot,height_in_cm,contract_expiration_date,market_value_in_eur,highest_market_value_in_eur
Roman Weidenfeller,2017,Germany,1980-08-06 00:00:00,Goalkeeper,left,190.0,,750000.0,8000000.0
Lúcio,2012,Brazil,1978-05-08 00:00:00,Defender,,,,200000.0,24500000.0
Dedê,2013,Brazil,1978-04-18 00:00:00,Defender,,,,400000.0,9500000.0
Christoph Metzelder,2012,Germany,1980-11-05 00:00:00,Defender,,,,1500000.0,9500000.0
Marc Ziegler,2012,Germany,1976-06-13 00:00:00,Goalkeeper,right,193.0,,200000.0,1250000.0
Fabian Ernst,2012,Germany,,Midfield,right,183.0,,1500000.0,9000000.0
Benjamin Köhler,2012,Germany,1980-08-04 00:00:00,Midfield,,,,150000.0,2500000.0
Sebastian Kehl,2014,Germany,1980-02-13 00:00:00,Midfield,left,187.0,,1000000.0,9000000.0
Oka Nikolov,2012,Germany,1974-05-25 00:00:00,Goalkeeper,right,188.0,,350000.0,2000000.0
Gerhard Tremmel,2016,Germany,1978-11-16 00:00:00,Goalkeeper,,,,250000.0,2200000.0
Simon Jentzsch,2012,Germany,1976-05-04 00:00:00,Goalkeeper,right,196.0,,300000.0,4500000.0
Timo Hildebrand,2014,Germany,1979-04-05 00:00:00,Goalkeeper,,,,750000.0,10000000.0
Christian Vander,2012,Germany,1980-10-24 00:00:00,Goalkeeper,right,195.0,,100000.0,600000.0
Ivan Klasnic,2012,Germany,1980-01-29 00:00:00,Attack,,,,500000.0,12000000.0
Simon Rolfes,2014,Germany,1982-01-21 00:00:00,Midfield,left,191.0,,2000000.0,9500000.0
Giuseppe Gemiti,2013,Germany,1981-05-03 00:00:00,Defender,left,178.0,,75000.0,1250000.0
Hanno Balitsch,2013,Germany,1981-01-02 00:00:00,Midfield,right,182.0,,200000.0,4000000.0
Selim Teber,2012,Germany,1981-03-07 00:00:00,Midfield,right,187.0,,175000.0,2500000.0
Thorben Marx,2014,Germany,,Midfield,right,184.0,,300000.0,2500000.0
Jens Langeneke,2012,Germany,1977-03-29 00:00:00,Defender,right,185.0,,100000.0,800000.0
Heinz Müller,2013,Germany,1978-05-30 00:00:00,Goalkeeper,,,,200000.0,2250000.0
Ugur Inceman,2015,Germany,1981-05-25 00:00:00,Midfield,right,183.0,,50000.0,3000000.0
Christian Weber,2012,Germany,1983-09-15 00:00:00,Defender,right,175.0,,50000.0,1500000.0
Manuel Friedrich,2013,Germany,1979-09-13 00:00:00,Defender,,,,500000.0,5500000.0
Thomas Kleine,2012,Germany,1977-12-28 00:00:00,Defender,right,191.0,,250000.0,2000000.0
Sven Neuhaus,2013,Germany,1978-04-04 00:00:00,Goalkeeper,,,,200000.0,900000.0
Matthias Lehmann,2017,Germany,1983-05-28 00:00:00,Midfield,,,,250000.0,2500000.0
Christofer Heimeroth,2017,Germany,1981-08-01 00:00:00,Goalkeeper,right,194.0,,100000.0,1300000.0
Michael Ratajczak,2019,Germany,1982-04-16 00:00:00,Goalkeeper,right,188.0,,50000.0,1000000.0
Jermaine Jones,2013,Germany,1981-11-03 00:00:00,Midfield,both,184.0,,600000.0,8000000.0
Martin Amedick,2012,Germany,1982-09-06 00:00:00,Defender,,,,300000.0,2750000.0
Alou Diarra,2016,France,1981-07-15 00:00:00,Midfield,right,189.0,,250000.0,14500000.0
Kevin Kuranyi,2015,Brazil,1982-03-02 00:00:00,Attack,,,,1250000.0,12000000.0
Christian Wetklo,2015,Germany,1980-01-11 00:00:00,Goalkeeper,right,190.0,,50000.0,1000000.0
Guy Demel,2015,France,1981-06-13 00:00:00,Defender,,,,150000.0,6000000.0
Michael Owen,2012,England,1979-12-14 00:00:00,Attack,both,173.0,,1000000.0,30000000.0
Cacau,2013,Brazil,1981-03-27 00:00:00,Attack,right,179.0,,350000.0,8000000.0
Mike Hanke,2013,Germany,1983-11-05 00:00:00,Attack,right,185.0,,1000000.0,5000000.0
Tim Wiese,2013,Germany,1981-12-17 00:00:00,Goalkeeper,,,,500000.0,10000000.0
Heiko Butscher,2012,Germany,1980-07-28 00:00:00,Defender,both,189.0,,200000.0,2250000.0
Alexander Meier,2017,Germany,1983-01-17 00:00:00,Attack,right,196.0,,300000.0,4500000.0
Stefan Reisinger,2012,Germany,1981-09-14 00:00:00,Attack,right,185.0,,500000.0,1500000.0
Thomas Hitzlsperger,2012,Germany,1982-04-05 00:00:00,Midfield,,,,1000000.0,9000000.0
Christian Schulz,2015,Germany,1983-04-01 00:00:00,Defender,left,185.0,,100000.0,4500000.0
Vivian,2013,Brazil,1982-04-05 00:00:00,Defender,,,,100000.0,1500000.0
Dennis Kruppke,2013,Germany,1980-04-01 00:00:00,Attack,both,179.0,,400000.0,750000.0
Sascha Riether,2018,Germany,1983-03-23 00:00:00,Defender,,,,300000.0,6000000.0
David Odonkor,2012,Germany,1984-02-21 00:00:00,Attack,right,172.0,,500000.0,4500000.0
Heiko Westermann,2016,Germany,1983-08-14 00:00:00,Defender,right,190.0,,400000.0,9000000.0
