name,country_of_birth,position,current_club_domestic_competition_id,market_value_in_eur,age
Roman Weidenfeller,Germany,Goalkeeper,L1,750000,44
Lúcio,Brazil,Defender,IT1,200000,46
Dedê,Brazil,Defender,TR1,400000,46
Christoph Metzelder,Germany,Defender,L1,1500000,43
Marc Ziegler,Germany,Goalkeeper,L1,200000,48
Sérgio da Silva Pinto,Portugal,Midfield,ES1,150000,43
Fabian Ernst,Germany,Midfield,TR1,1500000,45
Benjamin Köhler,Germany,Midfield,L1,150000,44
Sebastian Kehl,Germany,Midfield,L1,1000000,44
Oka Nikolov,Germany,Goalkeeper,L1,350000,50
Gerhard Tremmel,Germany,Goalkeeper,GB1,250000,45
Simon Jentzsch,Germany,Goalkeeper,L1,300000,48
Timo Hildebrand,Germany,Goalkeeper,L1,750000,45
Christian Vander,Germany,Goalkeeper,L1,100000,43
Ivan Klasnic,Germany,Attack,L1,500000,44
Simon Rolfes,Germany,Midfield,L1,2000000,42
Giuseppe Gemiti,Germany,Defender,IT1,75000,43
Hanno Balitsch,Germany,Midfield,L1,200000,43
Selim Teber,Germany,Midfield,TR1,175000,43
Thorben Marx,Germany,Midfield,L1,300000,43
Jens Langeneke,Germany,Defender,L1,100000,47
Heinz Müller,Germany,Goalkeeper,L1,200000,46
Ugur Inceman,Germany,Midfield,TR1,50000,43
Christian Weber,Germany,Defender,L1,50000,41
Manuel Friedrich,Germany,Defender,L1,500000,45
Thomas Kleine,Germany,Defender,L1,250000,46
Sven Neuhaus,Germany,Goalkeeper,L1,200000,46
Matthias Lehmann,Germany,Midfield,L1,250000,41
Christofer Heimeroth,Germany,Goalkeeper,L1,100000,43
Javier Zanetti,Argentina,Defender,IT1,1000000,51
Michael Ratajczak,Germany,Goalkeeper,L1,50000,42
Jermaine Jones,Germany,Midfield,TR1,600000,42
Martin Amedick,Germany,Defender,L1,300000,42
Alou Diarra,France,Midfield,FR1,250000,43
Kevin Kuranyi,Brazil,Attack,L1,1250000,42
Christian Wetklo,Germany,Goalkeeper,L1,50000,44
Guy Demel,France,Defender,SC1,150000,43
Michael Owen,England,Attack,GB1,1000000,44
Cacau,Brazil,Attack,L1,350000,43
Mike Hanke,Germany,Attack,L1,1000000,40
Tim Wiese,Germany,Goalkeeper,L1,500000,42
Heiko Butscher,Germany,Defender,L1,200000,44
Wesley Sonck,Belgium,Attack,BE1,200000,46
Youssef El Akchaoui,Netherlands,Defender,NL1,350000,43
Alexander Meier,Germany,Attack,L1,300000,41
Stefan Reisinger,Germany,Attack,L1,500000,43
Thomas Hitzlsperger,Germany,Midfield,GB1,1000000,42
Christian Schulz,Germany,Defender,L1,100000,41
Vivian,Brazil,Defender,FR1,100000,42
Dennis Kruppke,Germany,Attack,L1,400000,44
Sascha Riether,Germany,Defender,L1,300000,41
David Odonkor,Germany,Attack,UKR1,500000,40
Heiko Westermann,Germany,Defender,NL1,400000,41
Patrick Platins,Germany,Goalkeeper,L1,250000,41
Du-ri Cha,Germany,Defender,L1,825000,44
Halil Altintop,Germany,Midfield,L1,200000,41
Hamit Altintop,Germany,Midfield,L1,300000,41
Ali Bilgin,Germany,Midfield,TR1,175000,42
Ahmet Cebe,Germany,Defender,TR1,50000,41
Deniz Dogan,Germany,Defender,L1,75000,44
Markus Feulner,Germany,Midfield,L1,100000,42
Philipp Haastrup,Germany,Defender,NL1,100000,42
Erdal Kilicaslan,Germany,Attack,TR1,400000,40
Oliver Kirch,Germany,Midfield,L1,500000,42
Patric Klandt,Germany,Goalkeeper,L1,50000,41
Lukas Kruse,Germany,Goalkeeper,L1,100000,41
Philipp Lahm,Germany,Defender,L1,11000000,40
Christian Lell,Germany,Defender,ES1,800000,40
Markus Miller,Germany,Goalkeeper,L1,300000,42
Zvjezdan Misimovic,Germany,Midfield,RU1,700000,42
Marcel Ndjeng,Germany,Midfield,L1,50000,42
Patrick Ochs,Germany,Defender,L1,200000,40
Patrick Owomoyela,Germany,Defender,L1,200000,44
Marjan Petkovic,Germany,Goalkeeper,L1,200000,45
Michael Rensing,Germany,Goalkeeper,L1,300000,40
Mahir Saglik,Germany,Attack,L1,50000,41
Bastian Schweinsteiger,Germany,Midfield,GB1,1000000,40
Thorsten Stuckmann,Germany,Goalkeeper,SC1,100000,43
Elyasa Süme,Germany,Defender,TR1,25000,41
Romuald Peiser,France,Goalkeeper,PO1,75000,45
Alexander Madlung,Germany,Defender,L1,250000,42
Christian Pander,Germany,Defender,L1,250000,41
Martín Demichelis,Argentina,Defender,ES1,200000,43
Steven Gerrard,England,Midfield,GB1,1750000,44
Jan Schlaudraff,Germany,Attack,L1,750000,41
David Bellion,France,Attack,FR1,250000,41
Kieron Dyer,England,Midfield,GB1,500000,45
Richard Wright,England,Goalkeeper,GB1,250000,46
Titus Bramble,England,Defender,GB1,2000000,43
Kevin Phillips,England,Attack,GB1,250000,51
David Beckham,England,Midfield,FR1,1000000,49
Carlo Cudicini,Italy,Goalkeeper,GB1,500000,51
William Gallas,France,Defender,GB1,500000,47
Valerio Di Cesare,Italy,Defender,IT1,200000,41
John Terry,England,Defender,GB1,1000000,43
Frank Lampard,England,Midfield,GB1,1000000,46
Cris,Brazil,Defender,TR1,250000,47
Simon Cziommer,Germany,Midfield,NL1,400000,43
Quique de Lucas,Spain,Midfield,ES1,100000,46
Carlton Cole,England,Attack,SC1,500000,40
Ashley Cole,England,Defender,IT1,500000,43
Stuart Taylor,England,Goalkeeper,GB1,250000,43
Jermaine Pennant,England,Attack,GB1,500000,41
David Bentley,England,Midfield,RU1,3000000,40
Nicolas Anelka,France,Attack,GB1,1000000,45
Chris,Brazil,Defender,L1,300000,46
Rio Ferdinand,England,Defender,GB1,1000000,45
Roberto Hilbert,Germany,Defender,L1,100000,39
Jérémie Aliadière,France,Attack,FR1,500000,41
Luke Young,England,Defender,GB1,500000,45
Matthew Upson,England,Defender,GB1,250000,45
Steve Banks,England,Goalkeeper,SC1,50000,52
Gareth Barry,England,Midfield,GB1,325000,43
Joey Barton,England,Midfield,GB1,1000000,42
Paul Konchesky,England,Defender,GB1,250000,43
Jonathan Walters,England,Attack,GB1,1500000,41
Nicky Weaver,England,Goalkeeper,SC1,250000,45
Ben Williams,England,Goalkeeper,SC1,100000,42
Wayne Rooney,England,Attack,GB1,2000000,38
James Milner,England,Midfield,GB1,1000000,38
Jonathan Blondel,Belgium,Midfield,BE1,500000,40
Sylvain Distin,France,Defender,GB1,750000,46
Kaká,Brazil,Midfield,IT1,1000000,42
Markus Neumayr,Germany,Midfield,TR1,200000,38
Paul Scholes,England,Midfield,GB1,1000000,49
Phil Neville,England,Defender,GB1,1000000,47
Wes Brown,England,Defender,GB1,500000,44
Pablo Aimar,Argentina,Midfield,PO1,500000,44
Nicolás Burdisso,Argentina,Defender,IT1,300000,43
Timmy Simons,Belgium,Midfield,BE1,100000,47
Jermaine Jenas,England,Midfield,GB1,1500000,41
Shaun Wright-Phillips,England,Attack,GB1,100000,42
Hugo Viana,Portugal,Midfield,PO1,3000000,41
Christian Abbiati,Italy,Goalkeeper,IT1,500000,47
Mark van Bommel,Netherlands,Midfield,NL1,800000,47
Sylvain Armand,France,Defender,FR1,250000,44
Ricardo,Spain,Goalkeeper,ES1,100000,52
Luke Steele,England,Goalkeeper,GR1,150000,40
Kieran Richardson,England,Defender,GB1,1500000,39
Jerome Thomas,England,Attack,GB1,250000,41
Steve Harper,England,Goalkeeper,GB1,250000,49
Adam Collin,England,Goalkeeper,SC1,250000,39
Steed Malbranque,Belgium,Midfield,FR1,200000,44
Julien Escudé,France,Defender,TR1,800000,45
Mickaël Landreau,France,Goalkeeper,FR1,1750000,45
Steve Simonsen,England,Goalkeeper,SC1,125000,45
Jamie Carragher,England,Defender,GB1,1000000,46
Sean O'Hanlon,England,Defender,SC1,350000,41
Tony Hibbert,England,Defender,GB1,500000,43
Leon Osman,England,Midfield,GB1,1000000,43
Paul Robinson,England,Goalkeeper,GB1,250000,44
Mark Hudson,England,Defender,GB1,500000,42
Jason Roberts,England,Attack,GB1,250000,46
Lloyd Dyer,England,Midfield,GB1,250000,42
Wayne Bridge,England,Defender,GB1,500000,44
Anton Ferdinand,England,Defender,SC1,300000,39
Bernard Mendy,France,Defender,FR1,150000,43
Massimo Maccarone,Italy,Attack,IT1,150000,45
Georgios Theodoridis,Germany,Midfield,GR1,250000,44
Óscar Ustari,Argentina,Goalkeeper,GB1,600000,38
Peter Whittingham,England,Midfield,GB1,750000,40
Raúl Bravo,Spain,Defender,GR1,100000,43
Sam Parkin,England,Attack,SC1,200000,43
Scott Parker,England,Midfield,GB1,500000,43
Matthew Etherington,England,Midfield,GB1,1500000,43
Carlo Nash,England,Goalkeeper,GB1,250000,51
Sofian Chahed,Germany,Defender,L1,500000,41
Malik Fathi,Germany,Defender,L1,100000,40
Jay McEveley,England,Defender,SC1,400000,39
Jan-Ingwer Callsen-Bracker,Germany,Defender,L1,100000,40
Andrew Davies,England,Defender,SC1,250000,39
Jermain Defoe,England,Attack,SC1,400000,41
Joe Cole,England,Midfield,GB1,150000,42
Michael Carrick,England,Midfield,GB1,1000000,43
Glen Johnson,England,Defender,GB1,2500000,40
Eduardo,Brazil,Attack,FR1,500000,44
Pierre-Alain Frau,France,Attack,FR1,250000,44
Martin Lanig,Germany,Midfield,L1,600000,40
Kevin Nolan,England,Midfield,GB1,2000000,42
Djibril Cissé,France,Attack,FR1,200000,43
Iker Casillas,Spain,Goalkeeper,PO1,1000000,43
Gary O'Neil,England,Midfield,GB1,500000,41
Dirk Kuyt,Netherlands,Attack,NL1,1500000,44
Louis Saha,France,Attack,IT1,400000,46
Daniel Baier,Germany,Midfield,L1,400000,40
Dean Marney,England,Midfield,GB1,800000,40
Lee Barnard,England,Attack,GB1,250000,40
Stewart Downing,England,Attack,GB1,200000,40
Liam Ridgewell,England,Defender,GB1,500000,40
Peter Crouch,England,Attack,GB1,1000000,43
Luke Moore,England,Attack,TR1,700000,38
Darren Ambrose,England,Midfield,GR1,300000,40
Frazer Richardson,England,Defender,GB1,350000,41
Matthew Kilgallon,England,Defender,SC1,300000,40
Garry Monk,England,Defender,GB1,500000,45
Rory Delap,England,Midfield,GB1,250000,48
Anthony Lurling,Netherlands,Midfield,NL1,100000,47
Ricardo Quaresma,Portugal,Attack,PO1,300000,41
Rafael van der Vaart,Netherlands,Midfield,DK1,200000,41
Bobby Zamora,England,Attack,GB1,750000,43
Dominik Reinhardt,Germany,Defender,L1,50000,39
Anthony Le Tallec,France,Attack,GR1,250000,40
David Fox,England,Midfield,GB1,250000,40
Joleon Lescott,England,Defender,GR1,1000000,42
Diego,Brazil,Midfield,TR1,300000,39
Carlos Tevez,Argentina,Attack,IT1,300000,40
Johnny Heitinga,Netherlands,Defender,NL1,1000000,40
Maxwell,Brazil,Defender,FR1,1000000,43
Jelle Van Damme,Belgium,Defender,BE1,100000,40
Nourdin Boukhari,Netherlands,Midfield,NL1,200000,44
Jelle ten Rouwelaar,Netherlands,Goalkeeper,NL1,250000,43
Wilfred Bouma,Netherlands,Defender,NL1,1000000,46
Michael Lamey,Netherlands,Defender,NL1,250000,44
Theo Lucius,Netherlands,Midfield,NL1,250000,47
Remco van der Schaaf,Netherlands,Defender,DK1,100000,45
Klaas-Jan Huntelaar,Netherlands,Attack,NL1,800000,41
Arjen Robben,Netherlands,Attack,NL1,200000,40
Glenn Loovens,Netherlands,Defender,ES1,750000,40
Thomas Buffel,Belgium,Attack,BE1,100000,43
Robin van Persie,Netherlands,Attack,NL1,1500000,41
Yves Lenaerts,Belgium,Goalkeeper,BE1,150000,41
Boy Waterman,Netherlands,Goalkeeper,NL1,50000,40
Santi Kolk,Netherlands,Attack,NL1,600000,43
Marcel Seip,Netherlands,Defender,NL1,150000,42
Tim Cornelisse,Netherlands,Defender,NL1,100000,46
Nicky Hofs,Netherlands,Midfield,NL1,1000000,41
Theo Janssen,Netherlands,Midfield,NL1,2500000,43
Orlando Engelaar,Netherlands,Midfield,NL1,250000,45
Robbie Haemhouts,Belgium,Midfield,NL1,200000,40
Arne Slot,Netherlands,Midfield,NL1,400000,46
Robert van Boxel,Netherlands,Defender,NL1,50000,41
Khalid Sinouh,Netherlands,Goalkeeper,NL1,100000,49
Khalid Boulahrouz,Netherlands,Defender,NL1,400000,42
Dennis Gentenaar,Netherlands,Goalkeeper,NL1,100000,49
Jeffrey Leiwakabessy,Netherlands,Defender,NL1,100000,43
Rob Wielaert,Netherlands,Defender,NL1,350000,45
Peter Wisgerhof,Netherlands,Defender,NL1,500000,44
Frank Demouge,Netherlands,Attack,NL1,350000,42
Anouar Hadouir,Netherlands,Midfield,NL1,150000,42
Theo Zwarthoed,Netherlands,Goalkeeper,NL1,100000,41
Joris Mathijsen,Netherlands,Defender,NL1,1000000,44
Denny Landzaat,Netherlands,Midfield,NL1,100000,48
Marcel Meeuwis,Netherlands,Midfield,NL1,800000,43
Sander Boschker,Netherlands,Goalkeeper,NL1,100000,53
Roel Brouwers,Netherlands,Defender,NL1,400000,42
Jos Hooiveld,Netherlands,Defender,NL1,175000,41
Arnold Kruiswijk,Netherlands,Defender,NL1,200000,39
Joost Broerse,Netherlands,Defender,NL1,250000,45
Mitchell Piqué,Netherlands,Defender,NL1,200000,44
Nigel de Jong,Netherlands,Midfield,L1,400000,39
Wesley Sneijder,Netherlands,Midfield,FR1,3000000,40
Cedric van der Gun,Netherlands,Attack,NL1,500000,45
Aaron Hunt,Germany,Midfield,L1,250000,38
Peter Niemeyer,Germany,Midfield,L1,200000,40
Wilko de Vogt,Netherlands,Goalkeeper,NL1,50000,49
Stijn Schaars,Netherlands,Midfield,NL1,500000,40
Daniel Van Buyten,Belgium,Defender,L1,1000000,46
David Yelldell,Germany,Goalkeeper,L1,100000,43
Grégory Vignal,France,Defender,SC1,50000,43
Hilton,Brazil,Defender,FR1,150000,47
Gianluigi Buffon,Italy,Goalkeeper,IT1,1000000,46
Thomas Kessler,Germany,Goalkeeper,L1,250000,38
Hélder Postiga,Portugal,Attack,PO1,500000,42
Flavio Roma,Italy,Goalkeeper,FR1,50000,50
Éric Abidal,France,Defender,GR1,1000000,45
Gaël Givet,France,Defender,FR1,250000,42
Sébastien Squillaci,France,Defender,FR1,250000,44
Ludovic Giuly,France,Attack,FR1,400000,48
