name,country_of_birth,date_of_birth,position,current_club_domestic_competition_id,market_value_in_eur
Roman Weidenfeller,Germany,1980-08-06 00:00:00,Goalkeeper,L1,750000
Lúcio,Brazil,1978-05-08 00:00:00,Defender,IT1,200000
Dedê,Brazil,1978-04-18 00:00:00,Defender,TR1,400000
Christoph Metzelder,Germany,1980-11-05 00:00:00,Defender,L1,1500000
Marc Ziegler,Germany,1976-06-13 00:00:00,Goalkeeper,L1,200000
Sérgio da Silva Pinto,Portugal,1980-10-16 00:00:00,Midfield,ES1,150000
Fabian Ernst,Germany,1979-05-30,Midfield,TR1,1500000
Benjamin Köhler,Germany,1980-08-04 00:00:00,Midfield,L1,150000
Sebastian Kehl,Germany,1980-02-13 00:00:00,Midfield,L1,1000000
Oka Nikolov,Germany,1974-05-25 00:00:00,Goalkeeper,L1,350000
Gerhard Tremmel,Germany,1978-11-16 00:00:00,Goalkeeper,GB1,250000
Simon Jentzsch,Germany,1976-05-04 00:00:00,Goalkeeper,L1,300000
Timo Hildebrand,Germany,1979-04-05 00:00:00,Goalkeeper,L1,750000
Christian Vander,Germany,1980-10-24 00:00:00,Goalkeeper,L1,100000
Ivan Klasnic,Germany,1980-01-29 00:00:00,Attack,L1,500000
Simon Rolfes,Germany,1982-01-21 00:00:00,Midfield,L1,2000000
Giuseppe Gemiti,Germany,1981-05-03 00:00:00,Defender,IT1,75000
Hanno Balitsch,Germany,1981-01-02 00:00:00,Midfield,L1,200000
Selim Teber,Germany,1981-03-07 00:00:00,Midfield,TR1,175000
Thorben Marx,Germany,1981-06-01,Midfield,L1,300000
Jens Langeneke,Germany,1977-03-29 00:00:00,Defender,L1,100000
Heinz Müller,Germany,1978-05-30 00:00:00,Goalkeeper,L1,200000
Ugur Inceman,Germany,1981-05-25 00:00:00,Midfield,TR1,50000
Christian Weber,Germany,1983-09-15 00:00:00,Defender,L1,50000
Manuel Friedrich,Germany,1979-09-13 00:00:00,Defender,L1,500000
Thomas Kleine,Germany,1977-12-28 00:00:00,Defender,L1,250000
Sven Neuhaus,Germany,1978-04-04 00:00:00,Goalkeeper,L1,200000
Matthias Lehmann,Germany,1983-05-28 00:00:00,Midfield,L1,250000
Christofer Heimeroth,Germany,1981-08-01 00:00:00,Goalkeeper,L1,100000
Javier Zanetti,Argentina,1973-08-10 00:00:00,Defender,IT1,1000000
Michael Ratajczak,Germany,1982-04-16 00:00:00,Goalkeeper,L1,50000
Jermaine Jones,Germany,1981-11-03 00:00:00,Midfield,TR1,600000
Martin Amedick,Germany,1982-09-06 00:00:00,Defender,L1,300000
Alou Diarra,France,1981-07-15 00:00:00,Midfield,FR1,250000
Kevin Kuranyi,Brazil,1982-03-02 00:00:00,Attack,L1,1250000
Christian Wetklo,Germany,1980-01-11 00:00:00,Goalkeeper,L1,50000
Guy Demel,France,1981-06-13 00:00:00,Defender,SC1,150000
Michael Owen,England,1979-12-14 00:00:00,Attack,GB1,1000000
Cacau,Brazil,1981-03-27 00:00:00,Attack,L1,350000
Mike Hanke,Germany,1983-11-05 00:00:00,Attack,L1,1000000
Tim Wiese,Germany,1981-12-17 00:00:00,Goalkeeper,L1,500000
Heiko Butscher,Germany,1980-07-28 00:00:00,Defender,L1,200000
Wesley Sonck,Belgium,1978-08-09 00:00:00,Attack,BE1,200000
Youssef El Akchaoui,Netherlands,1981-02-18 00:00:00,Defender,NL1,350000
Alexander Meier,Germany,1983-01-17 00:00:00,Attack,L1,300000
Stefan Reisinger,Germany,1981-09-14 00:00:00,Attack,L1,500000
Thomas Hitzlsperger,Germany,1982-04-05 00:00:00,Midfield,GB1,1000000
Christian Schulz,Germany,1983-04-01 00:00:00,Defender,L1,100000
Vivian,Brazil,1982-04-05 00:00:00,Defender,FR1,100000
Dennis Kruppke,Germany,1980-04-01 00:00:00,Attack,L1,400000
Sascha Riether,Germany,1983-03-23 00:00:00,Defender,L1,300000
David Odonkor,Germany,1984-02-21 00:00:00,Attack,UKR1,500000
Heiko Westermann,Germany,1983-08-14 00:00:00,Defender,NL1,400000
Patrick Platins,Germany,1983-04-19 00:00:00,Goalkeeper,L1,250000
Du-ri Cha,Germany,1980-07-25 00:00:00,Defender,L1,825000
Halil Altintop,Germany,1982-12-08 00:00:00,Midfield,L1,200000
Hamit Altintop,Germany,1982-12-08 00:00:00,Midfield,L1,300000
Ali Bilgin,Germany,1981-12-17 00:00:00,Midfield,TR1,175000
Ahmet Cebe,Germany,1983-05-02 00:00:00,Defender,TR1,50000
Deniz Dogan,Germany,1979-10-20,Defender,L1,75000
Markus Feulner,Germany,1982-02-12 00:00:00,Midfield,L1,100000
Philipp Haastrup,Germany,1982-03-05 00:00:00,Defender,NL1,100000
Erdal Kilicaslan,Germany,1984-08-23 00:00:00,Attack,TR1,400000
Oliver Kirch,Germany,1982-08-21 00:00:00,Midfield,L1,500000
Patric Klandt,Germany,1983-09-29 00:00:00,Goalkeeper,L1,50000
Lukas Kruse,Germany,1983-07-09 00:00:00,Goalkeeper,L1,100000
Philipp Lahm,Germany,1983-11-11 00:00:00,Defender,L1,11000000
Christian Lell,Germany,1984-08-29 00:00:00,Defender,ES1,800000
Markus Miller,Germany,1982-04-08 00:00:00,Goalkeeper,L1,300000
Zvjezdan Misimovic,Germany,1982-06-05 00:00:00,Midfield,RU1,700000
Marcel Ndjeng,Germany,1982-05-06 00:00:00,Midfield,L1,50000
Patrick Ochs,Germany,1984-05-14 00:00:00,Defender,L1,200000
Patrick Owomoyela,Germany,1979-11-05 00:00:00,Defender,L1,200000
Marjan Petkovic,Germany,1979-05-22 00:00:00,Goalkeeper,L1,200000
Michael Rensing,Germany,1984-05-14 00:00:00,Goalkeeper,L1,300000
Mahir Saglik,Germany,1983-01-18 00:00:00,Attack,L1,50000
Bastian Schweinsteiger,Germany,1984-08-01 00:00:00,Midfield,GB1,1000000
Thorsten Stuckmann,Germany,1981-03-17 00:00:00,Goalkeeper,SC1,100000
Elyasa Süme,Germany,1983-08-13 00:00:00,Defender,TR1,25000
Romuald Peiser,France,1979-08-03 00:00:00,Goalkeeper,PO1,75000
Alexander Madlung,Germany,1982-07-11 00:00:00,Defender,L1,250000
Christian Pander,Germany,1983-08-28 00:00:00,Defender,L1,250000
Martín Demichelis,Argentina,1980-12-20 00:00:00,Defender,ES1,200000
Steven Gerrard,England,1980-05-30 00:00:00,Midfield,GB1,1750000
Jan Schlaudraff,Germany,1983-07-18 00:00:00,Attack,L1,750000
David Bellion,France,1982-11-27 00:00:00,Attack,FR1,250000
Kieron Dyer,England,1978-12-29 00:00:00,Midfield,GB1,500000
Richard Wright,England,1977-11-05 00:00:00,Goalkeeper,GB1,250000
Titus Bramble,England,1981-07-31 00:00:00,Defender,GB1,2000000
Kevin Phillips,England,1973-07-25 00:00:00,Attack,GB1,250000
David Beckham,England,1975-05-02 00:00:00,Midfield,FR1,1000000
Carlo Cudicini,Italy,1973-09-06 00:00:00,Goalkeeper,GB1,500000
William Gallas,France,1977-08-17 00:00:00,Defender,GB1,500000
Valerio Di Cesare,Italy,1983-05-23 00:00:00,Defender,IT1,200000
John Terry,England,1980-12-07 00:00:00,Defender,GB1,1000000
Frank Lampard,England,1978-06-20 00:00:00,Midfield,GB1,1000000
Cris,Brazil,1977-06-03 00:00:00,Defender,TR1,250000
Simon Cziommer,Germany,1980-11-06 00:00:00,Midfield,NL1,400000
Quique de Lucas,Spain,1978-08-17 00:00:00,Midfield,ES1,100000
Carlton Cole,England,1983-10-12 00:00:00,Attack,SC1,500000
Ashley Cole,England,1980-12-20 00:00:00,Defender,IT1,500000
Stuart Taylor,England,1980-11-28 00:00:00,Goalkeeper,GB1,250000
Jermaine Pennant,England,1983-01-15 00:00:00,Attack,GB1,500000
David Bentley,England,1984-08-27 00:00:00,Midfield,RU1,3000000
Nicolas Anelka,France,1979-03-14 00:00:00,Attack,GB1,1000000
Chris,Brazil,1978-08-25 00:00:00,Defender,L1,300000
Rio Ferdinand,England,1978-11-07 00:00:00,Defender,GB1,1000000
Roberto Hilbert,Germany,1984-10-16 00:00:00,Defender,L1,100000
Jérémie Aliadière,France,1983-03-30 00:00:00,Attack,FR1,500000
Luke Young,England,1979-07-19 00:00:00,Defender,GB1,500000
Matthew Upson,England,1979-04-18 00:00:00,Defender,GB1,250000
Steve Banks,England,1972-02-09 00:00:00,Goalkeeper,SC1,50000
Gareth Barry,England,1981-02-23 00:00:00,Midfield,GB1,325000
Joey Barton,England,1982-09-02 00:00:00,Midfield,GB1,1000000
Paul Konchesky,England,1981-05-15 00:00:00,Defender,GB1,250000
Jonathan Walters,England,1983-09-20 00:00:00,Attack,GB1,1500000
Nicky Weaver,England,1979-03-02 00:00:00,Goalkeeper,SC1,250000
Ben Williams,England,1982-08-27 00:00:00,Goalkeeper,SC1,100000
Wayne Rooney,England,1985-10-24 00:00:00,Attack,GB1,2000000
James Milner,England,1986-01-04 00:00:00,Midfield,GB1,1000000
Jonathan Blondel,Belgium,1984-04-03 00:00:00,Midfield,BE1,500000
Sylvain Distin,France,1977-12-16 00:00:00,Defender,GB1,750000
Kaká,Brazil,1982-04-22 00:00:00,Midfield,IT1,1000000
Markus Neumayr,Germany,1986-03-26 00:00:00,Midfield,TR1,200000
Paul Scholes,England,1974-11-16 00:00:00,Midfield,GB1,1000000
Phil Neville,England,1977-01-21 00:00:00,Defender,GB1,1000000
Wes Brown,England,1979-10-13 00:00:00,Defender,GB1,500000
Pablo Aimar,Argentina,1979-11-03 00:00:00,Midfield,PO1,500000
Nicolás Burdisso,Argentina,1981-04-12 00:00:00,Defender,IT1,300000
Timmy Simons,Belgium,1976-12-11 00:00:00,Midfield,BE1,100000
Jermaine Jenas,England,1983-02-18 00:00:00,Midfield,GB1,1500000
Shaun Wright-Phillips,England,1981-10-25 00:00:00,Attack,GB1,100000
Hugo Viana,Portugal,1983-01-15 00:00:00,Midfield,PO1,3000000
Christian Abbiati,Italy,1977-07-08 00:00:00,Goalkeeper,IT1,500000
Mark van Bommel,Netherlands,1977-04-22 00:00:00,Midfield,NL1,800000
Sylvain Armand,France,1980-08-01 00:00:00,Defender,FR1,250000
Ricardo,Spain,1971-12-30 00:00:00,Goalkeeper,ES1,100000
Luke Steele,England,1984-09-24 00:00:00,Goalkeeper,GR1,150000
Kieran Richardson,England,1984-10-21 00:00:00,Defender,GB1,1500000
Jerome Thomas,England,1983-03-23 00:00:00,Attack,GB1,250000
Steve Harper,England,1975-03-14 00:00:00,Goalkeeper,GB1,250000
Adam Collin,England,1984-12-09 00:00:00,Goalkeeper,SC1,250000
Steed Malbranque,Belgium,1980-01-06 00:00:00,Midfield,FR1,200000
Julien Escudé,France,1979-08-17 00:00:00,Defender,TR1,800000
Mickaël Landreau,France,1979-05-14 00:00:00,Goalkeeper,FR1,1750000
Steve Simonsen,England,1979-04-03 00:00:00,Goalkeeper,SC1,125000
Jamie Carragher,England,1978-01-28 00:00:00,Defender,GB1,1000000
Sean O'Hanlon,England,1983-01-02 00:00:00,Defender,SC1,350000
Tony Hibbert,England,1981-02-20 00:00:00,Defender,GB1,500000
Leon Osman,England,1981-05-17 00:00:00,Midfield,GB1,1000000
Paul Robinson,England,1979-10-15 00:00:00,Goalkeeper,GB1,250000
Mark Hudson,England,1982-03-30 00:00:00,Defender,GB1,500000
Jason Roberts,England,1978-01-25 00:00:00,Attack,GB1,250000
Lloyd Dyer,England,1982-09-13 00:00:00,Midfield,GB1,250000
